Unnamed: 0,OrigCode,DestCode,Origin,Destination,Trips,Dist,Persons 2011_x,OriPop19,DestEmp19,Ourban,Durban,Inc19_x,region,Inc19_y,lon-origin,lat-origin,lon-dist,lat-dist
52,30102.0,30104.0,Grünerløkka Oslo,St. Hanshaugen Oslo,15743,2180.73896272236,36931,47824,54104.0,3.65,2.8,450000,30104,430000,10.777421166334747,59.92547125,10.738958251649304,59.9279499
53,30103.0,30104.0,Sagene Oslo,St. Hanshaugen Oslo,11580,1757.772627457885,27199,33852,54104.0,2.34,2.8,461000,30104,430000,10.765848812662396,59.93827295,10.738958251649304,59.9279499
54,30104.0,30104.0,St. Hanshaugen Oslo,St. Hanshaugen Oslo,35436,0.0,26137,29966,54104.0,2.8,2.8,430000,30104,430000,10.738958251649304,59.9279499,10.738958251649304,59.9279499
55,30105.0,30104.0,Frogner Oslo,St. Hanshaugen Oslo,18712,3534.405557535422,37858,42741,54104.0,5.35,2.8,464000,30104,430000,10.7066491,59.9222241,10.738958251649304,59.9279499
56,30106.0,30104.0,Ullern Oslo,St. Hanshaugen Oslo,5706,4300.922129547601,18359,19164,54104.0,7.1,2.8,648000,30104,430000,10.665131833047553,59.9258182,10.738958251649304,59.9279499
57,30107.0,30104.0,Vestre Aker Oslo,St. Hanshaugen Oslo,7633,4837.3520028695175,26115,27837,54104.0,11.55,2.8,688000,30104,430000,10.6703187408315,59.95830005,10.738958251649304,59.9279499
58,30108.0,30104.0,Nordre Aker Oslo,St. Hanshaugen Oslo,11762,3033.765887599915,29692,31804,54104.0,10.5,2.8,578000,30104,430000,10.756412356654582,59.95363815,10.738958251649304,59.9279499
59,30109.0,30104.0,Bjerke Oslo,St. Hanshaugen Oslo,4267,4845.289393013286,17453,20501,54104.0,5.85,2.8,490000,30104,430000,10.829208453029786,59.941394700000004,10.738958251649304,59.9279499
60,30110.0,30104.0,Grorud Oslo,St. Hanshaugen Oslo,2694,8829.169483177735,15957,17273,54104.0,4.37,2.8,453000,30104,430000,10.8805488,59.9614243,10.738958251649304,59.9279499
61,30111.0,30104.0,Stovner Oslo,St. Hanshaugen Oslo,2496,10645.561898769338,17580,19116,54104.0,5.04,2.8,489000,30104,430000,10.9228232,59.9621403,10.738958251649304,59.9279499
62,30112.0,30104.0,Alna Oslo,St. Hanshaugen Oslo,5869,7053.067139211728,29231,30341,54104.0,9.23,2.8,477000,30104,430000,10.8352756,59.9324168,10.738958251649304,59.9279499
63,30113.0,30104.0,Østensjø Oslo,St. Hanshaugen Oslo,5705,6750.022853833005,27005,30474,54104.0,7.66,2.8,539000,30104,430000,10.83274792453087,59.8875633,10.738958251649304,59.9279499
64,30114.0,30104.0,Nordstrand Oslo,St. Hanshaugen Oslo,5962,6861.271351958168,27713,30471,54104.0,11.83,2.8,607000,30104,430000,10.7861425,59.8645605,10.738958251649304,59.9279499
65,30115.0,30104.0,Søndre Nordstrand Oslo,St. Hanshaugen Oslo,3541,11524.667846715078,21953,23438,54104.0,6.16,2.8,539000,30104,430000,10.798495515727911,59.83594385,10.738958251649304,59.9279499
66,30116.0,30104.0,Sentrum Oslo,St. Hanshaugen Oslo,11452,2178.116006620834,825,1264,54104.0,1.4,2.8,335000,30104,430000,10.7531379,59.9110251,10.738958251649304,59.9279499
67,30117.0,30104.0,Marka Oslo,St. Hanshaugen Oslo,518,9650.40985410208,1014,1035,54104.0,5.699999999999999,2.8,625000,30104,430000,10.671005191490298,60.040261650000005,10.738958251649304,59.9279499
68,30101.0,30105.0,Gamle Oslo,Frogner Oslo,14549,3071.7740726346165,32642,41736,48082.0,4.75,5.35,453000,30105,464000,10.73476733965368,59.8992367,10.7066491,59.9222241
69,30102.0,30105.0,Grünerløkka Oslo,Frogner Oslo,14880,5199.688886209394,36931,47824,48082.0,3.65,5.35,450000,30105,464000,10.777421166334747,59.92547125,10.7066491,59.9222241
70,30103.0,30105.0,Sagene Oslo,Frogner Oslo,10563,5290.364324910145,27199,33852,48082.0,2.34,5.35,461000,30105,464000,10.765848812662396,59.93827295,10.7066491,59.9222241
71,30104.0,30105.0,St. Hanshaugen Oslo,Frogner Oslo,18561,3534.405557535422,26137,29966,48082.0,2.8,5.35,430000,30105,464000,10.738958251649304,59.9279499,10.7066491,59.9222241
72,30105.0,30105.0,Frogner Oslo,Frogner Oslo,65838,0.0,37858,42741,48082.0,5.35,5.35,464000,30105,464000,10.7066491,59.9222241,10.7066491,59.9222241
73,30106.0,30105.0,Ullern Oslo,Frogner Oslo,12633,2583.118128023521,18359,19164,48082.0,7.1,5.35,648000,30105,464000,10.665131833047553,59.9258182,10.7066491,59.9222241
74,30107.0,30105.0,Vestre Aker Oslo,Frogner Oslo,14686,5254.111517919711,26115,27837,48082.0,11.55,5.35,688000,30105,464000,10.6703187408315,59.95830005,10.7066491,59.9222241
75,30108.0,30105.0,Nordre Aker Oslo,Frogner Oslo,14255,6338.850027181776,29692,31804,48082.0,10.5,5.35,578000,30105,464000,10.756412356654582,59.95363815,10.7066491,59.9222241
76,30109.0,30105.0,Bjerke Oslo,Frogner Oslo,5197,8167.215233799408,17453,20501,48082.0,5.85,5.35,490000,30105,464000,10.829208453029786,59.941394700000004,10.7066491,59.9222241
77,30110.0,30105.0,Grorud Oslo,Frogner Oslo,3488,12273.188723557883,15957,17273,48082.0,4.37,5.35,453000,30105,464000,10.8805488,59.9614243,10.7066491,59.9222241
78,30111.0,30105.0,Stovner Oslo,Frogner Oslo,3264,13955.437619122506,17580,19116,48082.0,5.04,5.35,489000,30105,464000,10.9228232,59.9621403,10.7066491,59.9222241
