,OrigCode,DestCode,Origin,Destination,Trips,Simulated_Trips
144,30109.0,30109.0,Bjerke Oslo,Bjerke Oslo,22174.0,22174.0
145,30109.0,30110.0,Bjerke Oslo,Grorud Oslo,3746.0,3746.0
146,30109.0,30111.0,Bjerke Oslo,Stovner Oslo,3510.0,3510.0
147,30109.0,30112.0,Bjerke Oslo,Alna Oslo,9080.0,9080.0
148,30109.0,30113.0,Bjerke Oslo,Østensjø Oslo,4120.0,4120.0
149,30109.0,30114.0,Bjerke Oslo,Nordstrand Oslo,3211.0,3211.0
150,30109.0,30115.0,Bjerke Oslo,Søndre Nordstrand Oslo,2064.0,2064.0
151,30109.0,30116.0,Bjerke Oslo,Sentrum Oslo,2896.0,2896.0
152,30109.0,30117.0,Bjerke Oslo,Marka Oslo,441.0,441.0
153,30110.0,30101.0,Grorud Oslo,Gamle Oslo,4085.0,3027.1
154,30110.0,30102.0,Grorud Oslo,Grünerløkka Oslo,4055.0,4055.0
155,30110.0,30103.0,Grorud Oslo,Sagene Oslo,2352.0,2352.0
156,30110.0,30104.0,Grorud Oslo,St. Hanshaugen Oslo,2694.0,2694.0
157,30110.0,30105.0,Grorud Oslo,Frogner Oslo,3488.0,3488.0
158,30110.0,30106.0,Grorud Oslo,Ullern Oslo,1479.0,1479.0
159,30110.0,30107.0,Grorud Oslo,Vestre Aker Oslo,1544.0,1544.0
160,30110.0,30108.0,Grorud Oslo,Nordre Aker Oslo,3430.0,3430.0
161,30110.0,30109.0,Grorud Oslo,Bjerke Oslo,3784.0,3784.0
162,30110.0,30110.0,Grorud Oslo,Grorud Oslo,15334.0,15334.0
163,30110.0,30111.0,Grorud Oslo,Stovner Oslo,4928.0,4928.0
164,30110.0,30112.0,Grorud Oslo,Alna Oslo,6495.0,6495.0
165,30110.0,30113.0,Grorud Oslo,Østensjø Oslo,2513.0,2513.0
166,30110.0,30114.0,Grorud Oslo,Nordstrand Oslo,1777.0,1777.0
167,30110.0,30115.0,Grorud Oslo,Søndre Nordstrand Oslo,1320.0,1320.0
168,30110.0,30116.0,Grorud Oslo,Sentrum Oslo,2003.0,2003.0
169,30110.0,30117.0,Grorud Oslo,Marka Oslo,252.0,252.0
170,30111.0,30101.0,Stovner Oslo,Gamle Oslo,4175.0,2636.2
171,30111.0,30102.0,Stovner Oslo,Grünerløkka Oslo,3744.0,3744.0
172,30111.0,30103.0,Stovner Oslo,Sagene Oslo,1803.0,1803.0
173,30111.0,30104.0,Stovner Oslo,St. Hanshaugen Oslo,2496.0,2496.0
174,30111.0,30105.0,Stovner Oslo,Frogner Oslo,3264.0,3264.0
175,30111.0,30106.0,Stovner Oslo,Ullern Oslo,1325.0,1325.0
176,30111.0,30107.0,Stovner Oslo,Vestre Aker Oslo,1429.0,1429.0
177,30111.0,30108.0,Stovner Oslo,Nordre Aker Oslo,3161.0,3161.0
178,30111.0,30109.0,Stovner Oslo,Bjerke Oslo,3466.0,3466.0
