,OrigCode,DestCode,Origin,Destination,Trips,OPop,DEmpl,Ourban,Durban,OInc,DInc,Distance
140,30109,30105,Bjerke,Frogner,5197,20501,48082.0,5.85,5.35,490000,464000,8167.215233799408
141,30109,30106,Bjerke,Ullern,2412,20501,38334.0,5.85,7.1,490000,648000,10880.711749697526
142,30109,30107,Bjerke,Vestre Aker,2829,20501,13362.0,5.85,11.55,490000,688000,10712.829077629778
143,30109,30108,Bjerke,Nordre Aker,5961,20501,42238.0,5.85,10.5,490000,578000,5497.805791366676
144,30109,30109,Bjerke,Bjerke,22174,20501,22537.0,5.85,5.85,490000,490000,0.0
145,30109,30110,Bjerke,Grorud,3746,20501,9297.0,5.85,4.37,490000,453000,5720.587625217162
146,30109,30111,Bjerke,Stovner,3510,20501,9490.0,5.85,5.04,490000,489000,7184.740074671069
147,30109,30112,Bjerke,Alna,9080,20501,31427.0,5.85,9.23,490000,477000,5205.570612814606
148,30109,30113,Bjerke,Østensjø,4120,20501,12470.0,5.85,7.66,490000,539000,7087.619371894674
149,30109,30114,Bjerke,Nordstrand,3211,20501,11179.0,5.85,11.83,490000,607000,9728.353117764333
150,30109,30115,Bjerke,Søndre Nordstrand,2064,20501,6701.0,5.85,6.16,490000,539000,15368.0886210311
151,30109,30116,Bjerke,Sentrum,2896,20501,77995.0,5.85,1.4,490000,335000,6430.349395915237
152,30109,30117,Bjerke,Marka,441,20501,793.0,5.85,5.699999999999999,490000,625000,13692.606400887784
153,30110,30101,Grorud,Gamle Oslo,4085,17273,43121.0,4.37,4.75,453000,453000,8623.655710726907
154,30110,30102,Grorud,Grünerløkka,4055,17273,29560.0,4.37,3.65,453000,450000,7289.907373025375
155,30110,30103,Grorud,Sagene,2352,17273,19408.0,4.37,2.34,453000,461000,7230.42570426546
156,30110,30104,Grorud,St. Hanshaugen,2694,17273,54104.0,4.37,2.8,453000,430000,9095.931650886303
157,30110,30105,Grorud,Frogner,3488,17273,48082.0,4.37,5.35,453000,464000,12273.188723557883
158,30110,30106,Grorud,Ullern,1479,17273,38334.0,4.37,7.1,453000,648000,13859.335355526344
159,30110,30107,Grorud,Vestre Aker,1544,17273,13362.0,4.37,11.55,453000,688000,13691.452683458598
160,30110,30108,Grorud,Nordre Aker,3430,17273,42238.0,4.37,10.5,453000,578000,8476.429397195498
161,30110,30109,Grorud,Bjerke,3784,17273,22537.0,4.37,5.85,453000,490000,4260.071165674768
162,30110,30110,Grorud,Grorud,15334,17273,9297.0,4.37,4.37,453000,453000,0.0
163,30110,30111,Grorud,Stovner,4928,17273,9490.0,4.37,5.04,453000,489000,4333.686266681789
164,30110,30112,Grorud,Alna,6495,17273,31427.0,4.37,9.23,453000,477000,8814.734585845092
165,30110,30113,Grorud,Østensjø,2513,17273,12470.0,4.37,7.66,453000,539000,8809.312043613023
166,30110,30114,Grorud,Nordstrand,1777,17273,11179.0,4.37,11.83,453000,607000,11805.750393209606
167,30110,30115,Grorud,Søndre Nordstrand,1320,17273,6701.0,4.37,6.16,453000,539000,17353.542106626744
168,30110,30116,Grorud,Sentrum,2003,17273,77995.0,4.37,1.4,453000,335000,10107.626342046797
169,30110,30117,Grorud,Marka,252,17273,793.0,4.37,5.699999999999999,453000,625000,16671.2300067166
170,30111,30101,Stovner,Gamle Oslo,4175,19116,43121.0,5.04,4.75,489000,453000,10586.881448692908
171,30111,30102,Stovner,Grünerløkka,3744,19116,29560.0,5.04,3.65,489000,450000,9242.11889172204
172,30111,30103,Stovner,Sagene,1803,19116,19408.0,5.04,2.34,489000,461000,10239.51962852022
173,30111,30104,Stovner,St. Hanshaugen,2496,19116,54104.0,5.04,2.8,489000,430000,12105.025575141062
174,30111,30105,Stovner,Frogner,3264,19116,48082.0,5.04,5.35,489000,464000,13955.437619122506
175,30111,30106,Stovner,Ullern,1325,19116,38334.0,5.04,7.1,489000,648000,16868.429279781103
176,30111,30107,Stovner,Vestre Aker,1429,19116,13362.0,5.04,11.55,489000,688000,16700.546607713357
177,30111,30108,Stovner,Nordre Aker,3161,19116,42238.0,5.04,10.5,489000,578000,11485.523321450255
178,30111,30109,Stovner,Bjerke,3466,19116,22537.0,5.04,5.85,489000,490000,6709.052225627949
179,30111,30110,Stovner,Grorud,4796,19116,9297.0,5.04,4.37,489000,453000,3712.7163041628637
180,30111,30111,Stovner,Stovner,19358,19116,9490.0,5.04,5.04,489000,489000,0.0
181,30111,30112,Stovner,Alna,7001,19116,31427.0,5.04,9.23,489000,477000,10772.70074443706
182,30111,30113,Stovner,Østensjø,2457,19116,12470.0,5.04,7.66,489000,539000,10991.962179424692
