,OrigCode,DestCode,Origin,Destination,Trips,Simulated_Trips
214,30111.0,30113.0,Stovner Oslo,Østensjø Oslo,2457,2457.0
215,30112.0,30113.0,Alna Oslo,Østensjø Oslo,10491,10491.0
216,30113.0,30113.0,Østensjø Oslo,Østensjø Oslo,36238,36238.0
217,30114.0,30113.0,Nordstrand Oslo,Østensjø Oslo,10161,10161.0
218,30115.0,30113.0,Søndre Nordstrand Oslo,Østensjø Oslo,5853,5853.0
219,30116.0,30113.0,Sentrum Oslo,Østensjø Oslo,4448,4448.0
220,30117.0,30113.0,Marka Oslo,Østensjø Oslo,403,403.0
221,30101.0,30114.0,Gamle Oslo,Nordstrand Oslo,9447,9430.5
222,30102.0,30114.0,Grünerløkka Oslo,Nordstrand Oslo,6551,6551.0
223,30103.0,30114.0,Sagene Oslo,Nordstrand Oslo,3724,3724.0
224,30104.0,30114.0,St. Hanshaugen Oslo,Nordstrand Oslo,5896,5896.0
225,30105.0,30114.0,Frogner Oslo,Nordstrand Oslo,8486,8486.0
226,30106.0,30114.0,Ullern Oslo,Nordstrand Oslo,3539,3539.0
227,30107.0,30114.0,Vestre Aker Oslo,Nordstrand Oslo,3662,3662.0
228,30108.0,30114.0,Nordre Aker Oslo,Nordstrand Oslo,5566,5566.0
229,30109.0,30114.0,Bjerke Oslo,Nordstrand Oslo,3211,3211.0
230,30110.0,30114.0,Grorud Oslo,Nordstrand Oslo,1777,1777.0
231,30111.0,30114.0,Stovner Oslo,Nordstrand Oslo,1774,1774.0
232,30112.0,30114.0,Alna Oslo,Nordstrand Oslo,6306,6306.0
233,30113.0,30114.0,Østensjø Oslo,Nordstrand Oslo,10248,10248.0
234,30114.0,30114.0,Nordstrand Oslo,Nordstrand Oslo,41953,41953.0
235,30115.0,30114.0,Søndre Nordstrand Oslo,Nordstrand Oslo,8494,8494.0
236,30116.0,30114.0,Sentrum Oslo,Nordstrand Oslo,5172,5172.0
237,30117.0,30114.0,Marka Oslo,Nordstrand Oslo,187,187.0
238,30101.0,30115.0,Gamle Oslo,Søndre Nordstrand Oslo,5692,4718.5
239,30102.0,30115.0,Grünerløkka Oslo,Søndre Nordstrand Oslo,3847,3847.0
240,30103.0,30115.0,Sagene Oslo,Søndre Nordstrand Oslo,1800,1800.0
241,30104.0,30115.0,St. Hanshaugen Oslo,Søndre Nordstrand Oslo,3562,3562.0
242,30105.0,30115.0,Frogner Oslo,Søndre Nordstrand Oslo,4208,4208.0
243,30106.0,30115.0,Ullern Oslo,Søndre Nordstrand Oslo,1803,1803.0
244,30107.0,30115.0,Vestre Aker Oslo,Søndre Nordstrand Oslo,2016,2016.0
245,30108.0,30115.0,Nordre Aker Oslo,Søndre Nordstrand Oslo,3025,3025.0
246,30109.0,30115.0,Bjerke Oslo,Søndre Nordstrand Oslo,2064,2064.0
247,30110.0,30115.0,Grorud Oslo,Søndre Nordstrand Oslo,1320,1320.0
248,30111.0,30115.0,Stovner Oslo,Søndre Nordstrand Oslo,1321,1321.0
249,30112.0,30115.0,Alna Oslo,Søndre Nordstrand Oslo,4550,4550.0
250,30113.0,30115.0,Østensjø Oslo,Søndre Nordstrand Oslo,5826,5826.0
251,30114.0,30115.0,Nordstrand Oslo,Søndre Nordstrand Oslo,8781,8781.0
252,30115.0,30115.0,Søndre Nordstrand Oslo,Søndre Nordstrand Oslo,22139,22139.0
253,30116.0,30115.0,Sentrum Oslo,Søndre Nordstrand Oslo,3323,3323.0
254,30117.0,30115.0,Marka Oslo,Søndre Nordstrand Oslo,123,123.0
255,30101.0,30116.0,Gamle Oslo,Sentrum Oslo,11361,11921.4
256,30102.0,30116.0,Grünerløkka Oslo,Sentrum Oslo,9811,9811.0
257,30103.0,30116.0,Sagene Oslo,Sentrum Oslo,5477,5477.0
258,30104.0,30116.0,St. Hanshaugen Oslo,Sentrum Oslo,12214,12214.0
259,30105.0,30116.0,Frogner Oslo,Sentrum Oslo,14508,14508.0
260,30106.0,30116.0,Ullern Oslo,Sentrum Oslo,3998,3998.0
261,30107.0,30116.0,Vestre Aker Oslo,Sentrum Oslo,4681,4681.0
262,30108.0,30116.0,Nordre Aker Oslo,Sentrum Oslo,6294,6294.0
263,30109.0,30116.0,Bjerke Oslo,Sentrum Oslo,2896,2896.0
264,30110.0,30116.0,Grorud Oslo,Sentrum Oslo,2003,2003.0
265,30111.0,30116.0,Stovner Oslo,Sentrum Oslo,2088,2088.0
266,30112.0,30116.0,Alna Oslo,Sentrum Oslo,4407,4407.0
267,30113.0,30116.0,Østensjø Oslo,Sentrum Oslo,4326,4326.0
268,30114.0,30116.0,Nordstrand Oslo,Sentrum Oslo,4968,4968.0
269,30115.0,30116.0,Søndre Nordstrand Oslo,Sentrum Oslo,2988,2988.0
270,30116.0,30116.0,Sentrum Oslo,Sentrum Oslo,25783,25783.0
271,30117.0,30116.0,Marka Oslo,Sentrum Oslo,252,252.0
272,30101.0,30117.0,Gamle Oslo,Marka Oslo,380,697.5
273,30102.0,30117.0,Grünerløkka Oslo,Marka Oslo,565,565.0
274,30103.0,30117.0,Sagene Oslo,Marka Oslo,611,611.0
